"","QKEY","INTERVIEW_START_W84","INTERVIEW_END_W84","DEVICE_TYPE_W84","LANG_W84","FORM_W84","XATTEND_W84","XCATHOLIC_W84","SATIS_W84","POL1JB_W84","POL1JBSTR_W84","POL1JB_4_W84","JBCONF_PUBH_W84","JBCONF_FRGN_W84","JBCONF_ECON_W84","JBCONF_CRIM_W84","JBCONF_CLSR_W84","JBCONF_RACE_W84","JBCONF_IMMI_W84","BIDENDESC_MDL_W84","BIDENDESC_ORD_W84","BIDENDESC_MENT_W84","BIDENDESC_STND_W84","BIDENDESC_HON_W84","PRESGOODTRUMP_W84","TRUMPPROG_W84","INSTFAV_a_W84","INSTFAV_b_W84","REPPTYTRAIT_a_W84","REPPTYTRAIT_f_W84","REPPTYTRAIT_b_W84","REPPTYTRAIT_g_W84","DEMPTYTRAIT_a_W84","DEMPTYTRAIT_f_W84","DEMPTYTRAIT_b_W84","DEMPTYTRAIT_g_W84","COVIDSPIR_W84","PPLFAV_a_W84","PPLFAV_b_W84","PPLFAV_c_W84","CAND_b_W84","CAND_d_W84","CAND_g_W84","BIDENRELIG_W84","HARRISRELIG_W84","BIDRELTLK_W84","JAN6LE_IMP_W84","JAN6LE_CONF_W84","JAN6PEN_A_W84","JAN6PEN_B_W84","JAN6ATTN_W84","IMPEACHACT2_W84","ATTENDMONTH_W84","ATTENDONLINE_W84","COVIDCONG2_W84","COVIDCONG3_W84","COVIDCONG4_W84","CONGRESTRICT1_a_W84","CONGRESTRICT1_b_W84","CONGRESTRICT1_c_W84","CONGRESTRICT1_d_W84","CONGRESTRICT1_e_W84","CONGRESTRICT2_a_W84","CONGRESTRICT2_b_W84","CONGRESTRICT2_c_W84","CONGRESTRICT2_d_W84","CONGRESTRICT2_e_W84","ATTENDCONF_W84","SERMONISSUE_h_W84","SERMONISSUE_i_W84","SERMONISSUE_j_W84","SERMONISSUE_k_W84","ESTR21_W84","ESTRTYP_W84","THERMTRUMP_W84","THERMBIDEN_W84","VLNTEXTR2_ISL_W84","VLNTEXTR2_CHR_W84","VLNTEXTR2_LEFT_W84","VLNTEXTR2_RGHT_W84","ECON1_W84","ECON1B_W84","COVID_ASSIST21_W84","COVIDLEG21A_W84","BIDEN_GOODFAITHC_W84","REPS_GOODFAITHC_W84","COVID_LIFEN_W84","COVID_JOBSN_W84","DISCRRIM_a_W84","DISCRRIM_b_W84","DISCRRIM_c_W84","DISCRRIM_j_W84","DISCRRIM_d_W84","DISCRRIM_e_W84","DISCRRIM_i_W84","DISCRRIM_f_W84","DISCRRIM_g_W84","DISCRRIM_h_W84","VTCHNGRULES_W84","VTEFFORT_W84","PARTY_W84","PARTYLN_W84","PARTYSTR_W84","REPPTYACC_a_W84","REPPTYACC_b_W84","REPPTYACC_c_W84","REPPTYACC_d_W84","DEMPTYACC_a_W84","DEMPTYACC_b_W84","DEMPTYACC_d_W84","COMMIF_a_W84","COMMIF_b_W84","COMMIF_c_W84","COMMIF_d_W84","BIDENCM_W84","CHRNATa_W84","CHRNATb_W84","CHRNATc_W84","CHRNATd_W84","CHRNATe_W84","CHRNATf_W84","CHRNATg_W84","RELRTHRD_W84","RELLTHRD_W84","RELRTAG_W84","RELLTAG_W84","QANON_KNOW_W84","QANON_FAV_W84","F_METRO","F_CREGION","F_CDIVISION","F_AGECAT","F_GENDER","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_HISP_ORIGIN","F_YEARSINUS","F_RACECMB","F_RACETHNMOD","F_CITIZEN","F_BIRTHPLACE2","F_MARITAL","F_RELIG","F_BORN","F_RELIGCAT1","F_ATTEND","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_PARTYSUMIDEO_FINAL","F_INC_SDT1","F_REG","F_IDEO","F_INTFREQ","F_VOLSUM","F_INC_TIER2","WEIGHT_W84","WEIGHT_W70_W84","WEIGHT_W80_W84","attend"
"1",100314,2021-03-04 12:15:38,2021-03-04 12:26:40,2,1,2,2,2,2,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,4,NA,1,2,4,NA,2,2,2,NA,2,4,4,1,2,3,8,2,3,4,9,9,99,1,2,NA,3,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,100,20,NA,NA,99,99,2,2,1,NA,2,1,3,3,3,3,2,3,NA,NA,NA,3,3,3,NA,2,1,NA,1,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,2,3,3,NA,NA,NA,NA,2,2,3,4,1,2,3,2,NA,1,1,1,1,1,2,1,2,1,5,1,NA,1,2,2,1,3,3,1,2,0.473894418148704,0.51297070259404,NA,"Neither"
"2",100363,2021-03-03 09:50:17,2021-03-03 09:58:55,2,1,1,2,1,1,NA,NA,1,1,2,2,1,2,1,2,NA,NA,NA,NA,NA,4,NA,3,3,3,NA,3,3,3,NA,3,3,3,1,4,8,4,1,2,2,9,3,1,1,2,NA,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,10,90,1,2,NA,NA,3,1,1,3,NA,NA,2,4,2,2,2,1,2,3,3,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,3,4,NA,1,1,1,1,1,2,2,2,1,2,9,2,NA,NA,NA,NA,2,4,1,1,2,2,2,1,6,2,NA,1,1,1,1,1,1,2,2,2,4,2,NA,2,3,9,1,3,2,2,2,0.897587871854045,0.737777876199138,NA,"Neither"
"3",100588,2021-03-02 13:29:43,2021-03-02 13:35:09,2,1,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,4,4,2,NA,2,4,4,NA,2,2,2,1,1,3,8,4,2,2,2,9,3,1,3,NA,2,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,100,NA,NA,1,1,3,3,1,NA,1,2,1,1,1,1,4,1,NA,NA,NA,1,1,4,NA,2,2,NA,1,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,2,2,2,2,2,9,9,3,3,NA,NA,NA,NA,1,4,9,2,2,2,4,1,5,1,99,3,1,1,1,2,2,2,4,2,NA,2,3,4,1,3,1,2,2,0.361964822137642,NA,NA,"Neither"
"4",100598,2021-03-02 16:15:44,2021-03-02 16:25:16,1,1,1,2,2,2,NA,NA,1,2,2,2,2,3,2,2,NA,NA,NA,NA,NA,3,NA,3,2,3,NA,3,3,3,NA,3,2,3,2,3,8,3,2,3,1,9,3,1,2,2,NA,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,25,75,2,2,NA,NA,3,1,1,3,NA,NA,2,2,2,2,3,2,2,2,3,NA,NA,NA,2,NA,1,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,2,NA,NA,NA,NA,3,3,1,4,9,3,2,1,6,2,NA,1,1,1,1,1,1,1,2,1,4,1,NA,1,2,9,1,3,2,1,3,0.34845262473518,0.365720090098927,NA,"Neither"
"5",100637,2021-03-03 14:38:00,2021-03-03 14:53:20,1,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,1,3,4,NA,3,3,3,NA,4,4,4,3,4,4,1,2,4,4,2,8,3,1,2,NA,1,1,3,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,85,0,NA,NA,1,3,4,2,2,NA,2,1,3,4,3,3,1,3,NA,NA,NA,2,3,1,NA,1,3,1,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,9,9,9,1,1,3,1,NA,NA,NA,1,3,5,4,2,2,4,2,NA,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,2,4,2,2,0.98692504265213,0.916325972324018,NA,"Both"
"6",100803,2021-03-02 20:50:30,2021-03-02 21:08:55,1,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,NA,1,2,3,NA,2,1,2,NA,1,3,1,3,2,3,2,3,2,3,2,9,2,2,1,NA,3,1,2,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,50,40,NA,NA,1,2,3,1,2,NA,2,1,3,3,2,1,2,2,NA,NA,NA,3,2,1,NA,1,1,NA,1,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,2,2,2,1,3,NA,NA,2,2,4,3,2,1,5,2,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,9,1,2,4,1,3,0.377238789367773,0.334907218840474,NA,"In-person only"
"7",101224,2021-03-02 13:20:45,2021-03-02 13:33:46,2,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,NA,1,1,4,NA,1,1,1,NA,4,4,4,1,2,4,2,2,4,4,2,9,2,3,3,NA,2,1,3,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,100,0,NA,NA,1,1,3,2,2,NA,2,1,2,4,3,3,3,3,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,3,3,NA,NA,NA,NA,1,3,5,4,1,3,2,2,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,4,1,2,2,1,2,1.24532301692743,NA,0.58449298005776,"Both"
"8",101437,2021-03-04 18:28:01,2021-03-04 18:47:13,1,1,1,1,2,2,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,1,NA,2,4,4,NA,2,2,1,NA,4,4,1,8,2,2,2,4,4,2,9,2,2,3,2,NA,1,3,1,1,2,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,100,0,2,1,NA,NA,3,2,2,1,NA,NA,2,4,4,4,4,4,4,4,4,NA,NA,NA,1,NA,3,1,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,9,1,1,NA,NA,NA,NA,3,2,2,2,4,3,2,2,4,2,NA,1,1,1,1,1,3,1,1,1,2,3,1,1,1,1,1,2,2,2,1,0.504792812908866,0.522121444961496,0.68119612665253,"Both"
"9",101472,2021-03-02 16:46:41,2021-03-02 16:55:11,2,1,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,NA,1,3,3,NA,1,3,3,NA,1,3,2,3,3,4,3,4,2,4,2,9,3,1,2,NA,3,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,10,60,NA,NA,1,1,2,1,1,NA,1,1,3,3,2,2,3,2,NA,NA,NA,2,2,4,NA,2,3,2,NA,NA,NA,NA,NA,2,NA,1,2,2,2,1,2,2,2,2,2,2,2,2,1,3,3,NA,NA,NA,1,3,7,2,1,1,6,2,NA,1,1,1,1,1,1,2,2,2,4,3,2,2,3,9,1,3,1,2,3,0.405104533959773,0.380080084212622,NA,"Neither"
"10",101485,2021-03-02 13:21:36,2021-03-02 13:31:16,2,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,NA,1,2,4,NA,1,1,1,NA,4,4,4,3,2,2,2,1,4,4,2,9,2,4,NA,NA,3,1,2,2,1,1,3,2,NA,NA,NA,NA,NA,1,1,2,2,2,3,2,2,2,2,2,1,80,0,NA,NA,2,1,4,2,1,NA,2,1,3,3,3,3,1,2,NA,NA,NA,3,2,2,NA,1,3,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,3,3,NA,NA,1,4,8,3,2,2,3,2,NA,1,3,5,1,1,5,1,2,1,2,3,1,1,1,9,1,2,1,1,3,0.621861845475962,NA,NA,"Online only"
